n,accuracy,avg_diff,ig_time[micro-s],brute_time[micro-s]
10,0.93333,0.06667,858.73333,4574162.66667
11,0.73333,0.26667,750.40000,4341724.93333
12,0.93333,0.06667,862.73333,4287874.20000
13,1.00000,0.00000,875.66667,4655601.93333
14,0.80000,0.20000,882.06667,5072575.40000
15,0.86667,0.13333,918.53333,4177807.53333
16,1.00000,0.00000,761.20000,4451859.80000
17,1.00000,0.00000,838.06667,4402922.00000
18,0.80000,0.20000,815.80000,5318188.26667
19,0.93333,0.06667,758.73333,5100026.40000
20,1.00000,0.00000,793.26667,4905234.86667
